line,order,station,transfer
1호선,1,다대포해수욕장,
1호선,2,다대포항,
1호선,3,낫개,
1호선,4,신장림,
1호선,5,장림,
1호선,6,동매,
1호선,7,신평,
1호선,8,하단,
1호선,9,당리,
1호선,10,사하,
1호선,11,괴정,
1호선,12,대티,
1호선,13,서대신,
1호선,14,동대신,
1호선,15,토성,
1호선,16,자갈치,
1호선,17,남포,
1호선,18,중앙,
1호선,19,부산역,
1호선,20,초량,
1호선,21,부산진,
1호선,22,좌천,
1호선,23,범일,
1호선,24,범내골,
1호선,25,서면,1호선-2호선
1호선,26,부전,1호선-동해선
1호선,27,양정,
1호선,28,시청,
1호선,29,연산,1호선-3호선
1호선,30,교대,1호선-동해선
1호선,31,동래,1호선-4호선
1호선,32,명륜,
1호선,33,온천장,
1호선,34,부산대,
1호선,35,장전,
1호선,36,구서,
1호선,37,두실,
1호선,38,남산,
1호선,39,범어사,
1호선,40,노포,
2호선,1,장산,
2호선,2,중동,
2호선,3,해운대,
2호선,4,동백,
2호선,5,벡스코,2호선-동해선
2호선,6,센텀시티,
2호선,7,민락,
2호선,8,수영,2호선-3호선
2호선,9,광안,
2호선,10,금련산,
2호선,11,남천,
2호선,12,경성대·부경대,
2호선,13,대연,
2호선,14,못골,
2호선,15,지게골,
2호선,16,문현,
2호선,17,국제금융센터·부산은행,
2호선,18,전포,
2호선,19,서면,1호선-2호선
2호선,20,부암,
2호선,21,가야,
2호선,22,동의대,
2호선,23,개금,
2호선,24,냉정,
2호선,25,주례,
2호선,26,감전,
2호선,27,사상,2호선-부산김해경전철
2호선,28,덕포,
2호선,29,모덕,
2호선,30,모라,
2호선,31,구남,
2호선,32,구명,
2호선,33,덕천,2호선-3호선
2호선,34,수정,
2호선,35,화명,
2호선,36,율리,
2호선,37,동원,
2호선,38,금곡,
2호선,39,호포,
2호선,40,증산,
2호선,41,부산대양산캠퍼스,
2호선,42,남양산,
2호선,43,양산,
3호선,1,수영,2호선-3호선
3호선,2,망미,
3호선,3,배산,
3호선,4,물만골,
3호선,5,연산,1호선-3호선
3호선,6,거제,3호선-동해선
3호선,7,종합운동장,
3호선,8,사직,
3호선,9,미남,3호선-4호선
3호선,10,만덕,
3호선,11,남산정,
3호선,12,숙등,
3호선,13,덕천,2호선-3호선
3호선,14,구포,
3호선,15,강서구청,
3호선,16,체육공원,
3호선,17,대저,3호선-부산김해경전철
4호선,1,미남,3호선-4호선
4호선,2,동래,1호선-4호선
4호선,3,수안,
4호선,4,낙민,
4호선,5,충렬사,
4호선,6,명장,
4호선,7,서동,
4호선,8,금사,
4호선,9,반여농산물시장,
4호선,10,석대,
4호선,11,영산대,
4호선,12,윗반송,
4호선,13,고촌,
4호선,14,안평,
부산김해경전철,1,사상,2호선-부산김해경전철
부산김해경전철,2,괘법르네시떼,
부산김해경전철,3,서부산유통지구,
부산김해경전철,4,공항,
부산김해경전철,5,덕두,
부산김해경전철,6,등구,
부산김해경전철,7,대저,3호선-부산김해경전철
부산김해경전철,8,평강,
부산김해경전철,9,대사,
부산김해경전철,10,불암,
부산김해경전철,11,지내,
부산김해경전철,12,김해대학,
부산김해경전철,13,인제대,
부산김해경전철,14,김해시청,
부산김해경전철,15,부원,
부산김해경전철,16,봉황,
부산김해경전철,17,수로왕릉,
부산김해경전철,18,박물관,
부산김해경전철,19,연지공원,
부산김해경전철,20,장신대,
부산김해경전철,21,가야대,
동해선,1,부전,1호선-동해선
동해선,2,거제해맞이,
동해선,3,거제,3호선-동해선
동해선,4,교대,1호선-동해선
동해선,5,동래,
동해선,6,안락,
동해선,7,부산원동,
동해선,8,재송,
동해선,9,센텀,
동해선,10,벡스코,2호선-동해선
동해선,11,신해운대,
동해선,12,송정,
동해선,13,오시리아,
동해선,14,기장,
동해선,15,일광,
동해선,16,좌천,
동해선,17,월내,
동해선,18,서생,
동해선,19,남창,
동해선,20,망양,
동해선,21,덕하,
동해선,22,개운포,
동해선,23,태화강,
